S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,VOTES CASTED,VOTE %,MARGIN,CATEGORY,ELECTION TYPE
22,1998,Andhra Pradesh,Attili,66,Dandu Sivarama Raju,Male,Telugu Desam Party,TDP,140109.0,98414.0,70.51,0,OTH,Bypoll
23,1998,Andhra Pradesh,Hanamkonda (LS),0,Dr. P. V. Ranga Rao,Male,Indian National Congress,INC,230400.0,133948.0,35.6,0,OTH,Bypoll
24,1998,Andhra Pradesh,Madhira (LA),0,Katta Venkatanarasaiah,Male,Communist Party of India (Marxist),CPM,180883.0,144008.0,35.08,0,OTH,Bypoll
25,1998,Andhra Pradesh,Metpalli,0,Komi Reddy Jyothi Devi,Female,Indian National Congress,INC,162693.0,100210.0,34.52,0,OTH,Bypoll
26,1998,Andhra Pradesh,Mummidivaram,43,Chelli Vivekananda,Male,Telugu Desam Party,TDP,134965.0,82094.0,60.73,0,OTH,Bypoll
27,2000,Andhra Pradesh,Bhongir,0,Alimineti Uma Devi,Female,Telugu Desam Party,TDP,179978.0,127886.0,61.3,0,OTH,Bypoll
28,2000,Andhra Pradesh,Chevella,0,Patlolla Sabitha,Female,Indian National Congress,INC,208250.0,143912.0,58.68,0,OTH,Bypoll
29,2000,Andhra Pradesh,Gudivada,85,Raavi Venkateswara Rao,Male,Telugu Desam Party,TDP,168159.0,96315.0,65.0,0,OTH,Bypoll
30,2001,Andhra Pradesh,Badvel,155,Bijivemula Koneti Reddy,Male,Telugu Desam Party,TDP,153842.0,112456.0,53.4,0,OTH,Bypoll
31,2001,Andhra Pradesh,Giddalur,123,Pidathala Sai Kalpana,Female,Telugu Desam Party,TDP,151326.0,104506.0,52.8,0,OTH,Bypoll
32,2001,Andhra Pradesh,Siddipet,0,K. Chandrashekar Rao,Male,Bharat Rashtra Samithi,BRS,174864.0,114205.0,72.35,0,OTH,Bypoll
33,2001,Andhra Pradesh,Vuyyuru,84,Anne Vijaya Lakshmi,Female,Telugu Desam Party,TDP,124379.0,89951.0,58.28,0,OTH,Bypoll
34,2002,Andhra Pradesh,Amalapuram,9,Ganti Vijaya Kumari,Female,Telugu Desam Party,TDP,997557.0,376457.0,90.82,0,OTH,Bypoll
35,2002,Andhra Pradesh,Deverakonda (ST),0,Smt. Deeravath Bharathi,Female,Indian National Congress,INC,181197.0,0.0,0.0,0,OTH,Bypoll
36,2002,Andhra Pradesh,Medak,0,Karanam Uma Devi,Female,Telugu Desam Party,TDP,170857.0,116729.0,37.23,0,OTH,Bypoll
37,2003,Andhra Pradesh,Karwan,0,Mohd. Muqtada Khan,Male,All India Majlis-e-Ittehadul Muslimeen,Kite,295902.0,130831.0,51.51,0,OTH,Bypoll
38,2004,Andhra Pradesh,Asafnagar,0,Mohd Moazam Khan,Male,All India Majlis-e-Ittehadul Muslimeen,Kite,184868.0,70311.0,36.58,0,OTH,Bypoll
39,2004,Andhra Pradesh,Siddipet,0,Harish Rao. T,Male,Bharat Rashtra Samithi,BRS,167565.0,115460.0,55.76,0,OTH,Bypoll
40,2005,Andhra Pradesh,Makthal,0,Chittemram Mohan Reddy,Male,Indian National Congress,INC,184294.0,98886.0,65.61,0,OTH,Bypoll
41,2005,Andhra Pradesh,Penukonda,166,Paritala Sunithamma,Female,Telugu Desam Party,TDP,168774.0,119544.0,54.98,0,OTH,Bypoll
42,2006,Andhra Pradesh,Bobbili,3,Jhansi Lakshmi Botcha,Female,Indian National Congress,INC,1015497.0,703400.0,47.52,0,OTH,Bypoll
43,2006,Andhra Pradesh,Karimnagar,37,K. Chandra Shakher Rao,Male,Bharat Rashtra Samithi,BRS,1419685.0,793932.0,47.61,0,OTH,Bypoll
44,2006,Andhra Pradesh,Visakhapatnam-I,24,Dronamraju Satyanarayana,Male,Indian National Congress,INC,132586.0,58882.0,59.21,0,OTH,Bypoll
45,2008,Andhra Pradesh,Adilabad,35,Allola Indrakaran Reddy,Male,Indian National Congress,INC,1154367.0,811465.0,34.12,0,OTH,Bypoll
46,2008,Andhra Pradesh,Alair,0,Dr. Kududula Nagesh,Male,Bharat Rashtra Samithi,BRS,163195.0,116810.0,39.27,0,OTH,Bypoll
47,2008,Andhra Pradesh,Cheriyal,0,Pratap Reddy Kommuri,Male,Bharat Rashtra Samithi,BRS,149495.0,96133.0,47.1,0,OTH,Bypoll
48,2008,Andhra Pradesh,Dichpalli,0,Akula Lalitha,Female,Indian National Congress,INC,152024.0,106795.0,37.22,0,OTH,Bypoll
49,2008,Andhra Pradesh,Dommat,0,Solipeta Ramlinga Reddy,Male,Bharat Rashtra Samithi,BRS,147107.0,106820.0,39.64,0,OTH,Bypoll
50,2008,Andhra Pradesh,Ghanpur,0,Kadiyam Sri Hari,Male,Telugu Desam Party,TDP,159817.0,110894.0,35.76,0,OTH,Bypoll
51,2008,Andhra Pradesh,Hanamkonda,38,Boianapalli Vinod Kumar,Male,Bharat Rashtra Samithi,BRS,1256358.0,767414.0,41.09,0,OTH,Bypoll
52,2008,Andhra Pradesh,Huzurabad,0,Capt. V. L. Kantha Rao,Male,Bharat Rashtra Samithi,BRS,188123.0,119752.0,44.72,0,OTH,Bypoll
53,2008,Andhra Pradesh,Jadcherla,0,Dr. Mallu Ravi,Male,Indian National Congress,INC,180894.0,120678.0,37.43,0,OTH,Bypoll
54,2008,Andhra Pradesh,Kamalapur,0,Etala Rajender,Male,Bharat Rashtra Samithi,BRS,187708.0,121455.0,44.53,0,OTH,Bypoll
55,2008,Andhra Pradesh,Karimnagar,37,K. Chandra Shekhar Rao,Male,Bharat Rashtra Samithi,BRS,1452946.0,735241.0,36.66,0,OTH,Bypoll
56,2008,Andhra Pradesh,Khairatabad,0,P. Vishnuvardhan Reddy,Male,Indian National Congress,INC,1049850.0,380145.0,66.99,0,OTH,Bypoll
57,2008,Andhra Pradesh,Khanapur,0,Suman Ramesh Rathod,Female,Telugu Desam Party,TDP,159421.0,108064.0,37.19,0,OTH,Bypoll
58,2008,Andhra Pradesh,Musheerabad,0,T. Manemma,Female,Indian National Congress,INC,222999.0,111442.0,31.22,0,OTH,Bypoll
59,2008,Andhra Pradesh,Myadaram,0,Koppula Eshwar,Male,Bharat Rashtra Samithi,BRS,288461.0,136208.0,45.6,0,OTH,Bypoll
60,2008,Andhra Pradesh,Secunderabad,0,Talasani Srinivas Yadav,Male,Telugu Desam Party,TDP,208181.0,120487.0,41.52,0,OTH,Bypoll
61,2008,Andhra Pradesh,Siddipet,0,Tanneru Harish Rao,Male,Bharat Rashtra Samithi,BRS,179272.0,113405.0,67.25,0,OTH,Bypoll
62,2008,Andhra Pradesh,Therlam,12,Thentu Lakshmu Naidu,Male,Telugu Desam Party,TDP,139040.0,75094.0,74.39,0,OTH,Bypoll
63,2008,Andhra Pradesh,Vikarabad,0,G. Prasad Kumar,Male,Indian National Congress,INC,184735.0,125601.0,53.99,0,OTH,Bypoll
64,2008,Andhra Pradesh,Warangal,39,Errabelli Dayakar Rao,Male,Telugu Desam Party,TDP,1247939.0,843499.0,34.06,0,OTH,Bypoll
65,2008,Andhra Pradesh,Yellareddy,0,Janardhan Goud B.,Male,Indian National Congress,INC,165676.0,119555.0,39.17,0,OTH,Bypoll
66,2009,Andhra Pradesh,Pulivendla,0,Y. S. Vijayamma,Female,Indian National Congress,INC,0.0,0.0,100.0,0,OTH,Bypoll
67,2009,Andhra Pradesh,Tekkali,122,Korla Bharathi,Female,Indian National Congress,INC,179606.0,133041.0,44.54,0,OTH,Bypoll
68,2010,Andhra Pradesh,Chennur,2,Nallala Odelu,Male,Bharat Rashtra Samithi,BRS,149252.0,112300.0,60.45,0,OTH,Bypoll
69,2010,Andhra Pradesh,Dharmapuri,22,E. Koppula,Male,Bharat Rashtra Samithi,BRS,191950.0,127577.0,67.97,0,OTH,Bypoll
70,2010,Andhra Pradesh,Huzurabad,31,E. Rajender,Male,Bharat Rashtra Samithi,BRS,202359.0,138105.0,67.36,0,OTH,Bypoll
71,2010,Andhra Pradesh,Koratla,20,K. V. S. Rao,Male,Bharat Rashtra Samithi,BRS,193557.0,124453.0,64.68,0,OTH,Bypoll
72,2010,Andhra Pradesh,Mancherial,4,Aravind Reddy Gaddam,Male,Bharat Rashtra Samithi,BRS,202384.0,130251.0,73.17,0,OTH,Bypoll
73,2010,Andhra Pradesh,Nizamabad Urban,17,Endala Lakshmi Narayana,Male,Bharatiya Janata Party,BJP,267338.0,120822.0,53.12,0,OTH,Bypoll
74,2010,Andhra Pradesh,Siddipet,33,T. Harish Rao,Male,Bharat Rashtra Samithi,BRS,186329.0,132422.0,82.16,0,OTH,Bypoll
75,2010,Andhra Pradesh,Sircilla,29,K. T. Rama Rao,Male,Bharat Rashtra Samithi,BRS,211463.0,133039.0,66.05,0,OTH,Bypoll
76,2010,Andhra Pradesh,Sirpur,1,Kaveti Sammaiah,Male,Bharat Rashtra Samithi,BRS,155377.0,127084.0,44.27,0,OTH,Bypoll
77,2010,Andhra Pradesh,Vemulawada,28,Ramesh Chennamaneni,Male,Bharat Rashtra Samithi,BRS,184652.0,120987.0,65.42,0,OTH,Bypoll
78,2010,Andhra Pradesh,Warangal West,105,O. V. Bhaskar,Male,Bharat Rashtra Samithi,BRS,224209.0,118171.0,74.85,0,OTH,Bypoll
79,2010,Andhra Pradesh,Yellareddy,15,Eanugu Ravinder Reddy,Male,Bharat Rashtra Samithi,BRS,190358.0,138610.0,52.3,0,OTH,Bypoll
80,2011,Andhra Pradesh,Banswada,14,Pocharam Srinivas Reddy,Male,Bharat Rashtra Samithi,BRS,159732.0,122871.0,67.75,0,OTH,Bypoll
81,2011,Andhra Pradesh,Kadapa,38,Y.S. JAGAN MOHAN REDDY,Male,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1329626.0,1030978.0,67.15,0,OTH,Bypoll
82,2011,Andhra Pradesh,Pulivendla,0,Y. S. Vijayamma,Female,Yuvajana Sramika Rythu Congress Party,CEILING FAN,189246.0,157098.0,70.09,0,OTH,Bypoll
83,2014,Andhra Pradesh,Allagadda,0,Bhuma Akhila Priya Reddy,Female,Yuvajana Sramika Rythu Congress Party,CEILING FAN,205624.0,0.0,100.0,0,OTH,Bypoll
84,2014,Andhra Pradesh,Nandigama,0,Tangirala Sowmya,Female,Telugu Desam Party,TDP,184511.0,140685.0,70.18,0,OTH,Bypoll
85,2015,Andhra Pradesh,Kalva Kurthy,135,Chittem Rammohan Reddy,Male,Indian National Congress,INC,198294.0,151002.0,41.52,0,OTH,Bypoll
86,2015,Andhra Pradesh,Tirupati,167,Mannuru Suguna,Female,Telugu Desam Party,TDP,294993.0,145064.0,86.96,0,OTH,Bypoll
87,2017,Andhra Pradesh,Nandyal,139,B. Brahmananda Reddy,Male,Telugu Desam Party,TDP,219108.0,171956.0,56.05,0,OTH,Bypoll
88,2021,Andhra Pradesh,Badvel,124,Dasari Sudha,Female,Yuvajana Sramika Rythu Congress Party,CEILING FAN,216206.0,143513.0,78.19,0,OTH,Bypoll
89,2021,Andhra Pradesh,Tirupathi,23,MADDILA GURUMOORTHY,Male,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1711195.0,1105468.0,57.48,0,OTH,Bypoll
90,2022,Andhra Pradesh,Atmakur,115,Mekapati Vikram Reddy,Male,Yuvajana Sramika Rythu Congress Party,CEILING FAN,213400.0,133107.0,76.81,0,OTH,Bypoll
91,1996,Arunachal Pradesh,Basar (ST),29,Jobom Basar,Male,Independent,IND,0.0,0.0,0.0,0,OTH,Bypoll
92,1996,Arunachal Pradesh,Namsang (ST),54,Changkom Hondik,Male,Indian National Congress,INC,7742.0,5758.0,50.95,0,OTH,Bypoll
93,2001,Arunachal Pradesh,Pakke Kessang (ST),12,Nyani Natung,Female,Indian National Congress,INC,6728.0,5010.0,62.58,0,OTH,Bypoll
94,2002,Arunachal Pradesh,Daporijo (ST),24,Yari Dulom,Female,Indian National Congress,INC,14951.0,9331.0,65.81,0,OTH,Bypoll
95,2004,Arunachal Pradesh,Roing,43,Mukut Mithi,Male,Indian National Congress,INC,9938.0,6337.0,60.55,0,OTH,Bypoll
96,2009,Arunachal Pradesh,Arunachal East,2,Ninong Ering,Male,Indian National Congress,INC,301173.0,214930.0,53.7,0,OTH,Bypoll
97,2009,Arunachal Pradesh,Arunachal West,1,Takam Sanjoy,Male,Indian National Congress,INC,433368.0,285666.0,49.15,0,OTH,Bypoll
98,2009,Arunachal Pradesh,Basar,29,Gojen Gadi,Male,Indian National Congress,INC,16904.0,13864.0,82.0,0,OTH,Bypoll
99,2009,Arunachal Pradesh,Daporijo,24,Tapen Siga,Male,Bharatiya Janata Party,BJP,17152.0,12764.0,74.4,0,OTH,Bypoll
100,2009,Arunachal Pradesh,Dirang,4,Phurpa Tsering,Male,People's Party of Arunachal,Maize,13760.0,11703.0,85.1,0,OTH,Bypoll
101,2009,Arunachal Pradesh,Hayuliang,45,Kalikho Pul,Male,Indian National Congress,INC,11105.0,9600.0,88.5,0,OTH,Bypoll
102,2009,Arunachal Pradesh,Itanagar,13,Techi Kaso,Male,Nationalist Congress Party,NCP,57979.0,29556.0,51.0,0,OTH,Bypoll
103,2009,Arunachal Pradesh,Lumla,1,Jambey Tashi,Male,Indian National Congress,INC,8022.0,0.0,0.0,0,OTH,Bypoll
104,2009,Arunachal Pradesh,Mukto,3,Dorjee Khandu,Male,Indian National Congress,INC,6916.0,0.0,0.0,0,OTH,Bypoll
105,2009,Arunachal Pradesh,Namsang,54,Wangki Lowang,Male,Indian National Congress,INC,8420.0,6734.0,63.7,0,OTH,Bypoll
106,2009,Arunachal Pradesh,Pakke Kessang,12,Atum Welly,Male,Indian National Congress,INC,6426.0,5703.0,88.7,0,OTH,Bypoll
107,2009,Arunachal Pradesh,Roing,43,Laeta Umbrey,Male,All India Trinamool Congress,AITC,10420.0,8341.0,63.8,0,OTH,Bypoll
108,2009,Arunachal Pradesh,Sagalee,15,Nabam Tuki,Male,Indian National Congress,INC,12005.0,9600.0,80.0,0,OTH,Bypoll
109,2009,Arunachal Pradesh,Tawang,2,Tsewang Dhondup,Male,Indian National Congress,INC,9812.0,0.0,0.0,0,OTH,Bypoll
110,2011,Arunachal Pradesh,Mukto (ST),3,Pema Khandu,Male,Indian National Congress,INC,6783.0,0.0,0.0,0,OTH,Bypoll
111,2014,Arunachal Pradesh,Arunachal East,2,Ninong Ering,Male,Indian National Congress,INC,312872.0,263157.0,45.33,0,OTH,Bypoll
112,2014,Arunachal Pradesh,Arunachal West,1,Kiren Rijiju,Male,Bharatiya Janata Party,BJP,446515.0,337671.0,50.46,0,OTH,Bypoll
113,2014,Arunachal Pradesh,Dirang,4,Phurpa Tsering,Male,Indian National Congress,INC,13351.0,0.0,0.0,0,OTH,Bypoll
114,2014,Arunachal Pradesh,Doimukh,14,Nabam Rebia,Male,Indian National Congress,INC,23474.0,0.0,0.0,0,OTH,Bypoll
115,2014,Arunachal Pradesh,Kanubari (ST),58,Gabriel Denwang Wangsu,Male,Indian National Congress,INC,10406.0,0.0,54.62,0,OTH,Bypoll
116,2014,Arunachal Pradesh,Mebo,39,Lombo Tayeng,Male,Indian National Congress,INC,10950.0,0.0,0.0,0,OTH,Bypoll
117,2014,Arunachal Pradesh,Mukto,3,Pema Khandu,Male,Indian National Congress,INC,7120.0,0.0,0.0,0,OTH,Bypoll
118,2014,Arunachal Pradesh,Nacho,22,Tanga Byaling,Male,Indian National Congress,INC,10455.0,0.0,0.0,0,OTH,Bypoll
119,2014,Arunachal Pradesh,Nyapin,19,Bamang Felix,Male,Indian National Congress,INC,11632.0,0.0,0.0,0,OTH,Bypoll
120,2014,Arunachal Pradesh,Pakke-Kessang,12,Kameng Dolo,Male,Indian National Congress,INC,6904.0,0.0,0.0,0,OTH,Bypoll
121,2014,Arunachal Pradesh,Palin,18,Takam Pario,Male,Indian National Congress,INC,13811.0,0.0,0.0,0,OTH,Bypoll
122,2014,Arunachal Pradesh,Sagalee,15,Nabam Tuki,Male,Indian National Congress,INC,12570.0,0.0,0.0,0,OTH,Bypoll
123,2014,Arunachal Pradesh,Seppa West,11,Mama Natung,Male,Indian National Congress,INC,6207.0,0.0,0.0,0,OTH,Bypoll
124,2014,Arunachal Pradesh,Taliha,23,Punji Mara,Male,Indian National Congress,INC,9541.0,0.0,0.0,0,OTH,Bypoll
125,2015,Arunachal Pradesh,Liromoba (ST),27,Nyamar Karbak,Male,Indian National Congress,INC,11667.0,10490.0,36.33,0,OTH,Bypoll
126,2016,Arunachal Pradesh,Hayuliang (ST),45,Dasanglu Pul,Female,Bharatiya Janata Party,BJP,11036.0,9822.0,54.85,0,OTH,Bypoll
127,2017,Arunachal Pradesh,Likabali,28,Kardo Nyigyor,Male,Bharatiya Janata Party,BJP,10608.0,7677.0,72.37,0,OTH,Bypoll
128,2017,Arunachal Pradesh,Pakke-Kessang,12,Biyuram Wahge,Male,Bharatiya Janata Party,BJP,7468.0,6727.0,90.08,0,OTH,Bypoll
129,2023,Arunachal Pradesh,Lumla,1,Tsering Lhamu,Female,Bharatiya Janata Party,BJP,9214.0,0.0,100.0,0,OTH,Bypoll
130,1966,Assam,Mangaldai,0,Fakhruddin Ali Ahmed,Male,Indian National Congress,INC,0.0,0.0,0.0,0,OTH,Bypoll
131,1975,Assam,Nalbari,0,Hiteswar Saikia,Male,Indian National Congress,INC,0.0,0.0,0.0,0,OTH,Bypoll
132,1985,Assam,Jorhat,0,Prafulla Kumar Mahanta,Male,Asom Gana Parishad,AGP,0.0,0.0,0.0,0,OTH,Bypoll
133,1990,Assam,Kamrup,0,Bhumidhar Barman,Male,Indian National Congress,INC,0.0,0.0,0.0,0,OTH,Bypoll
134,1996,Assam,Guwahati,0,Himanta Biswa Sarma,Male,Indian National Congress,INC,0.0,0.0,0.0,0,OTH,Bypoll
135,2002,Assam,Silchar,0,Kabindra Purkayastha,Male,Bharatiya Janata Party,BJP,0.0,0.0,0.0,0,OTH,Bypoll
136,2005,Assam,Nowgong,0,Rajen Gohain,Male,Bharatiya Janata Party,BJP,0.0,0.0,0.0,0,OTH,Bypoll
137,2009,Assam,Mangaldai,0,Ramen Deka,Male,Bharatiya Janata Party,BJP,0.0,0.0,0.0,0,OTH,Bypoll
138,2014,Assam,Barpeta,0,Sirajuddin Ajmal,Male,All India United Democratic Front,ALL I,0.0,0.0,0.0,0,OTH,Bypoll
139,2016,Assam,Lakhimpur,0,Pradan Baruah,Male,Bharatiya Janata Party,BJP,0.0,0.0,0.0,0,OTH,Bypoll
140,2019,Assam,Ratabari,0,Krishnendu Paul,Male,Bharatiya Janata Party,BJP,0.0,0.0,0.0,0,OTH,Bypoll
141,2020,Assam,Bodoland,0,Pramod Bodo,Male,United Peoples Party Liberal,UPPL,0.0,0.0,0.0,0,OTH,Bypoll
142,2022,Assam,Nagaon,0,Rupjyoti Kurmi,Male,Indian National Congress,INC,0.0,0.0,0.0,0,OTH,Bypoll
143,2023,Assam,Tamulpur,0,Jolen Daimary,Male,United Peoples Party Liberal,UPPL,0.0,0.0,0.0,0,OTH,Bypoll
144,2024,Assam,Samaguri,0,Diplu Ranjan Sarma,Male,Bharatiya Janata Party,BJP,0.0,0.0,0.0,0,OTH,Bypoll
145,1971,Bihar,Chapra,7,Ramdeo Singh,Male,Indian National Congress,INC,620000.0,308760.0,49.8,0,OTH,Bypoll
146,1977,Bihar,Patna,8,Ram Nath Pandey,Male,Bharatiya Lok Dal,BLD,745000.0,390380.0,52.4,0,OTH,Bypoll
147,1980,Bihar,Begusarai,9,Yogendra Sharma,Male,Communist Party of India,CPI,770000.0,374220.0,48.6,0,OTH,Bypoll
148,1980,Bihar,Buxar,10,Anant Sharma,Male,Indian National Congress,INC,790000.0,373670.0,47.3,0,OTH,Bypoll
149,1984,Bihar,Barh,14,Prakash Chandra,Male,Indian National Congress,INC,850000.0,455600.0,53.6,0,OTH,Bypoll
150,1984,Bihar,Gopalganj,12,Kali Prasad,Male,Indian National Congress,INC,785000.0,414480.0,52.8,0,OTH,Bypoll
151,1984,Bihar,Hajipur,13,Ram Ratan Ram,Male,Indian National Congress,INC,835000.0,451735.0,54.1,0,OTH,Bypoll
152,1984,Bihar,Samastipur,11,Lalu Prasad Yadav,Male,Indian National Congress,INC,910000.0,502320.0,55.2,0,OTH,Bypoll
153,1991,Bihar,Jharia,0,A. Devi,Female,Janata Dal,JD,0.0,0.0,0.0,0,OTH,Bypoll
154,1991,Bihar,Patna,15,Ram Lakhan Singh Yadav,Male,Janata Dal,JD,1175000.0,612225.0,52.1,0,OTH,Bypoll
155,1991,Bihar,Purnea,16,Taslimudin,Male,Janata Dal,JD,925000.0,469900.0,50.8,0,OTH,Bypoll
156,1993,Bihar,Paliganj,46,Suresh Pasi,Male,Samajwadi Party,SP,185000.0,89725.0,48.5,0,OTH,Bypoll
157,1996,Bihar,Mashrakh,48,Ram Lakhan Yadav,Male,Rashtriya Janata Dal,RJD,210000.0,104580.0,49.8,0,OTH,Bypoll
158,1996,Bihar,Paliganj,47,Janardan Sharma,Male,Bharatiya Janata Party,BJP,198000.0,99396.0,50.2,0,OTH,Bypoll
159,1998,Bihar,Adapur,51,Shyam Bihari Prasad,Male,Rashtriya Janata Dal,RJD,205000.0,101270.0,49.4,0,OTH,Bypoll
160,1998,Bihar,Belaganj,53,Mahesh Singh Yadav,Male,Rashtriya Janata Dal,RJD,248000.0,129208.0,52.1,0,OTH,Bypoll
161,1998,Bihar,Koderma,50,Annapurna Devi,Female,Rashtriya Janata Dal,RJD,215000.0,108790.0,50.6,0,OTH,Bypoll
162,1998,Bihar,Purnia,52,Madhvi Sarkar,Female,Communist Party of India (Marxist),CPM,235000.0,112330.0,47.8,0,OTH,Bypoll
163,1998,Bihar,Sheohar,49,Thakur Ratnakar,Male,Rashtriya Janata Dal,RJD,225000.0,115425.0,51.3,0,OTH,Bypoll
164,2002,Bihar,Govindganj,54,Ramnath,Male,Independent,IND,220000.0,101860.0,46.3,0,OTH,Bypoll
165,2003,Bihar,Barachatti,57,Krishna Mohan Yadav,Male,Rashtriya Janata Dal,RJD,243000.0,115425.0,47.5,0,OTH,Bypoll
166,2003,Bihar,Fatwa,56,Ram Vilas Ram,Male,Janata Dal (United),JDU,265000.0,127730.0,48.2,0,OTH,Bypoll
167,2003,Bihar,Sitamarhi,55,Sunil Kumar,Male,Rashtriya Janata Dal,RJD,275000.0,136400.0,49.6,0,OTH,Bypoll
168,2004,Bihar,Madhepura,1,Rajesh Ranjan alias Pappu Yadav,Male,Rashtriya Janata Dal,RJD,1187000.0,644541.0,54.3,0,OTH,Bypoll
169,2005,Bihar,Adapur,13,Shyam Bihari Prasad,Male,Janata Dal (United),JDU,0.0,44714.0,0.0,0,GEN,Bypoll
170,2005,Bihar,Alamnagar,123,Narendra Nr. Yadav,Male,Janata Dal (United),JDU,0.0,39676.0,0.0,0,GEN,Bypoll
171,2005,Bihar,Alauli,166,Pashupati Kumar Paras,Male,Lok Jan Shakti Party,LJP,0.0,40870.0,0.0,0,SC,Bypoll
172,2005,Bihar,Amarpur,154,Surendra Prasad Singh,Male,Rashtriya Janata Dal,RJD,0.0,33679.0,0.0,0,GEN,Bypoll
173,2005,Bihar,Amaur,136,Abdul Jalil Mastan,Male,Indian National Congress,INC,0.0,48009.0,0.0,0,GEN,Bypoll
174,2005,Bihar,Araria,130,Pradeep Kumar Singh,Male,Bharatiya Janata Party,BJP,0.0,36089.0,0.0,0,GEN,Bypoll
175,2005,Bihar,Arrah,198,Amrendra Pratap Singh,Male,Bharatiya Janata Party,BJP,0.0,53489.0,0.0,0,GEN,Bypoll
176,2005,Bihar,Arwal,224,Dular Chand Singh,Male,Lok Jan Shakti Party,LJP,0.0,33810.0,0.0,0,GEN,Bypoll
177,2005,Bihar,Asthawan,175,Jitendra Kumar,Male,Janata Dal (United),JDU,0.0,40474.0,0.0,0,GEN,Bypoll
178,2005,Bihar,Atri,238,Rajendra Prasad Yadav,Male,Rashtriya Janata Dal,RJD,0.0,63921.0,0.0,0,GEN,Bypoll
179,2005,Bihar,Aurai,62,Arjun Ray,Male,Janata Dal (United),JDU,0.0,52327.0,0.0,0,GEN,Bypoll
