S.NO,YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,VOTES CASTED,VOTE %,MARGIN,CATEGORY,ELECTION TYPE
17,1955,Andhra Pradesh,Adoni,155,Bussanna G.,Male,Praja Socialist Party,PSP,55983.0,30264.0,43.0,34,GEN,Vidhan Sabha
18,1955,Andhra Pradesh,Alur,154,Ramalingareddy H.,Male,Indian National Congress,INC,52793.0,29010.0,58.51,9668,GEN,Vidhan Sabha
19,1955,Andhra Pradesh,Amalapuram,50,Bojja Appala Swamy,Male,Independent,IND,123984.0,153292.0,14.78,0,GEN,Vidhan Sabha
20,1955,Andhra Pradesh,Ammanabarolu,103,Jagarlamudi Chandramouli,Male,Indian National Congress,INC,55775.0,41593.0,55.78,4809,GEN,Vidhan Sabha
21,1955,Andhra Pradesh,Anakapalli,26,Beesetti Appa Rao,Male,Khun Hynniewtrep National Awakening Movement,Star,60422.0,39945.0,49.96,653,GEN,Vidhan Sabha
22,1955,Andhra Pradesh,Anantapur,149,P. Anthoni Reddi,Male,Independent,IND,62467.0,38672.0,56.81,7604,GEN,Vidhan Sabha
23,1955,Andhra Pradesh,Anaparthi,47,Tetala Lakshminirayanareddi,Male,Independent,IND,72047.0,45599.0,54.66,5468,GEN,Vidhan Sabha
24,1955,Andhra Pradesh,Atill,60,Chodagam Ammanna Raja,Male,Independent,IND,51850.0,41088.0,50.22,178,GEN,Vidhan Sabha
25,1955,Andhra Pradesh,Atmakur,114,Bezwada Gopala Reddi,Male,Indian National Congress,INC,63978.0,42173.0,59.37,14097,GEN,Vidhan Sabha
26,1955,Andhra Pradesh,Badvel,137,Ratnasabhapathy Setty B.,Male,Praja Socialist Party,PSP,57100.0,40141.0,64.35,11523,GEN,Vidhan Sabha
27,1955,Andhra Pradesh,Balijipeta,11,Peddinti Ramaswamy Naidu,Male,Independent,IND,54158.0,31083.0,44.16,4208,GEN,Vidhan Sabha
28,1955,Andhra Pradesh,Bandar,79,Kolipara Vankataramanayya,Male,Independent,IND,63681.0,40056.0,63.25,11792,GEN,Vidhan Sabha
29,1955,Andhra Pradesh,Bapatla,87,Mantena Venkataraju,Male,Indian National Congress,INC,66676.0,47120.0,56.41,7955,GEN,Vidhan Sabha
30,1955,Andhra Pradesh,Bhadrachalam,35,Syamalla Seetharamaiah,Male,Independent,IND,104322.0,77843.0,33.42,0,GEN,Vidhan Sabha
31,1955,Andhra Pradesh,Bheemunipatnam,22,Gottumukkala Jagannadha Raju,Male,Independent,IND,54394.0,31884.0,50.23,6904,GEN,Vidhan Sabha
32,1955,Andhra Pradesh,Bhimavaram,64,Nachu Venkatramiah,Male,Indian National Congress,INC,74908.0,50898.0,52.28,3221,GEN,Vidhan Sabha
33,1955,Andhra Pradesh,Bhogapuram,18,Batsa Adinarayana,Male,Praja Socialist Party,PSP,57809.0,32938.0,70.92,15658,GEN,Vidhan Sabha
34,1955,Andhra Pradesh,Bobbili,10,Kotagiri Sitharama Swamy,Male,Indian National Congress,INC,63504.0,33593.0,41.77,357,GEN,Vidhan Sabha
35,1955,Andhra Pradesh,Brahmanatarala,3,Nicharia Ramulu,Male,Khun Hynniewtrep National Awakening Movement,Star,58375.0,29313.0,38.35,5209,GEN,Vidhan Sabha
36,1955,Andhra Pradesh,Buchireddipalem,113,Swarna Vemaya,Male,Communist Party of India,CPI,131849.0,160074.0,26.15,0,GEN,Vidhan Sabha
37,1955,Andhra Pradesh,Burugupudi,37,Neerukonda Venkata Ramarao,Male,Independent,IND,100992.0,128055.0,29.68,0,GEN,Vidhan Sabha
38,1955,Andhra Pradesh,Cheepurupalli,17,Kottapalli Punnayya,Male,Khun Hynniewtrep National Awakening Movement,Star,99739.0,78158.0,13.13,0,GEN,Vidhan Sabha
39,1955,Andhra Pradesh,Cheyyeru,49,Nadimpalli Ramabhadraraju,Male,Indian National Congress,INC,72809.0,44909.0,59.62,8637,GEN,Vidhan Sabha
40,1955,Andhra Pradesh,Chittoor,124,Chinnama Reddy,Male,Indian National Congress,INC,59073.0,36287.0,47.94,6941,GEN,Vidhan Sabha
41,1955,Andhra Pradesh,Chodavaram,27,Reddi Jagannadham,Male,Independent,IND,59290.0,32004.0,39.55,862,GEN,Vidhan Sabha
42,1955,Andhra Pradesh,Cuddapah,136,Mahammad R. Shaik,Male,Indian National Congress,INC,60837.0,42011.0,55.29,11616,GEN,Vidhan Sabha
43,1955,Andhra Pradesh,Darsi,105,Dirisala V. Reddy,Male,Independent,IND,53769.0,27755.0,53.97,2205,GEN,Vidhan Sabha
44,1955,Andhra Pradesh,Dendulur,56,Mulpuri Rangayya,Male,Independent,IND,54201.0,41072.0,61.52,9922,GEN,Vidhan Sabha
45,1955,Andhra Pradesh,Devi,80,M.R.R.Y. Siva Rama Prasad,Male,Indian National Congress,INC,125082.0,201530.0,30.33,0,GEN,Vidhan Sabha
46,1955,Andhra Pradesh,Dharmavaram,148,Ramachariu Papoor,Male,Indian National Congress,INC,111835.0,140333.0,34.45,0,GEN,Vidhan Sabha
47,1955,Andhra Pradesh,Dhone,159,B.P. Sesha Reddy,Male,Independent,IND,58317.0,40090.0,52.06,1654,GEN,Vidhan Sabha
48,1955,Andhra Pradesh,Duggirala,84,Putumbaka Sriramulu,Male,Indian National Congress,INC,61570.0,47309.0,61.18,10581,GEN,Vidhan Sabha
49,1955,Andhra Pradesh,Eluru,55,Seerla Brahmayya,Male,Indian National Congress,INC,64714.0,40515.0,55.09,5312,GEN,Vidhan Sabha
50,1955,Andhra Pradesh,Epanjeri,123,Chenagalaraya Naidu N.P.,Male,Independent,IND,59052.0,43065.0,70.42,22151,GEN,Vidhan Sabha
51,1955,Andhra Pradesh,Gajapatinagaram,19,Gantlana Surayanarayana,Male,Independent,IND,99912.0,106693.0,36.77,0,GEN,Vidhan Sabha
52,1955,Andhra Pradesh,Gannavaram,68,Puchalapalli Sundarayya,Male,Communist Party of India,CPI,55220.0,45412.0,49.71,821,GEN,Vidhan Sabha
53,1955,Andhra Pradesh,Ghirala,88,Pragada Kotayya,Male,Independent,IND,62205.0,43123.0,57.04,6073,GEN,Vidhan Sabha
54,1955,Andhra Pradesh,Giddalur,165,Pidathala Ranga Reddy,Male,Indian National Congress,INC,52245.0,34561.0,62.12,8377,GEN,Vidhan Sabha
55,1955,Andhra Pradesh,Golugonda,33,Ruthala Latchapatrudu,Male,Independent,IND,53652.0,30410.0,45.81,6106,GEN,Vidhan Sabha
56,1955,Andhra Pradesh,Gooty,152,Raja Ram,Male,Indian National Congress,INC,100967.0,109083.0,27.7,0,GEN,Vidhan Sabha
57,1955,Andhra Pradesh,Gorantla,145,Pulla Venkataravanappa,Male,Indian National Congress,INC,47879.0,27840.0,45.61,1438,GEN,Vidhan Sabha
58,1955,Andhra Pradesh,Gudem,34,Matcharasa Matcharaju,Male,Independent,IND,76065.0,6936.0,55.94,1814,GEN,Vidhan Sabha
59,1955,Andhra Pradesh,Gudivada,67,Vemul Kurmayya,Male,Indian National Congress,INC,120898.0,181091.0,27.58,0,GEN,Vidhan Sabha
60,1955,Andhra Pradesh,Gudur,118,Merlapaka Munuswami,Male,Indian National Congress,INC,116561.0,126303.0,38.45,0,GEN,Vidhan Sabha
61,1955,Andhra Pradesh,Guntur I,92,Tellakula Jalayya,Male,Indian National Congress,INC,87369.0,41140.0,32.6,1415,GEN,Vidhan Sabha
62,1955,Andhra Pradesh,Guntur I I,93,Meduri Nageshwararao,Male,Independent,IND,68830.0,41389.0,52.3,3296,GEN,Vidhan Sabha
63,1955,Andhra Pradesh,Gurzala,97,Mandava Bapayya Chowdary,Male,Khun Hynniewtrep National Awakening Movement,Star,63317.0,39301.0,59.3,8087,GEN,Vidhan Sabha
64,1955,Andhra Pradesh,Hindupur,146,Kallur Subba Rao,Male,Indian National Congress,INC,115051.0,116963.0,27.01,0,GEN,Vidhan Sabha
65,1955,Andhra Pradesh,Ichapuram,1,Uppada Rangababu,Male,Independent,IND,54716.0,32165.0,45.28,7157,GEN,Vidhan Sabha
66,1955,Andhra Pradesh,Jaggampeta,38,Duriseti Gopalrao,Male,Independent,IND,56969.0,36893.0,44.54,4913,GEN,Vidhan Sabha
67,1955,Andhra Pradesh,Jammalamdgu,140,Kunda Ramaiah,Male,Indian National Congress,INC,53724.0,38992.0,46.98,1615,GEN,Vidhan Sabha
68,1955,Andhra Pradesh,Kadiri,143,K.V. Vema Reddi,Male,Independent,IND,54061.0,32658.0,62.77,11059,GEN,Vidhan Sabha
69,1955,Andhra Pradesh,Kaikalur,66,Kammili Appa Rao,Male,Independent,IND,56719.0,43671.0,53.26,5603,GEN,Vidhan Sabha
70,1955,Andhra Pradesh,Kakinada,44,Mallipudi Pallam Raju,Male,Independent,IND,55253.0,31842.0,47.09,555,GEN,Vidhan Sabha
71,1955,Andhra Pradesh,Kalahasti,119,Neelam Sanjeeva Reddy,Male,Independent,IND,108796.0,100860.0,40.06,0,GEN,Vidhan Sabha
72,1955,Andhra Pradesh,Kamalapuram,141,Nareddi Sambhu Reddy,Male,Independent,IND,51114.0,35061.0,63.0,9111,GEN,Vidhan Sabha
73,1955,Andhra Pradesh,Kanchikacherla,74,Maganti Ramiah,Male,Indian National Congress,INC,63921.0,50309.0,50.36,1710,GEN,Vidhan Sabha
74,1955,Andhra Pradesh,Kandukur,110,Devi Kondaiah Chowdary,Male,Independent,IND,65910.0,36905.0,66.0,11811,GEN,Vidhan Sabha
75,1955,Andhra Pradesh,Kanigir,107,Gujjula Yallamanda Reddi,Male,Communist Party of India,CPI,56108.0,21807.0,50.11,50,GEN,Vidhan Sabha
76,1955,Andhra Pradesh,Kanithi,24,B. G. M. A. Narasingarao,Male,Indian National Congress,INC,42497.0,21628.0,47.03,3936,GEN,Vidhan Sabha
77,1955,Andhra Pradesh,Kankipadu,69,Chagarlamudi Ramakotaiah,Male,Khun Hynniewtrep National Awakening Movement,Star,48725.0,39725.0,50.26,209,GEN,Vidhan Sabha
78,1955,Andhra Pradesh,Kavali,112,Bathena Ramakrishna Reddi,Male,People's Party,Steering Wheel,63427.0,33980.0,53.84,2610,GEN,Vidhan Sabha
79,1955,Andhra Pradesh,Kolikuntla,163,Subba Reddy B.V.,Male,Independent,IND,57572.0,41230.0,46.21,4677,GEN,Vidhan Sabha
80,1955,Andhra Pradesh,Kondakarla,30,Majji Pydayya Naidu,Male,Independent,IND,55915.0,26174.0,50.41,216,GEN,Vidhan Sabha
81,1955,Andhra Pradesh,Kondapi,111,Nalamothu C. Naidu,Male,Independent,IND,62310.0,32154.0,56.41,4121,GEN,Vidhan Sabha
82,1955,Andhra Pradesh,Kosigi,156,Thimmayya Setty T.G.,Male,Indian National Congress,INC,55763.0,21651.0,74.67,10681,GEN,Vidhan Sabha
83,1955,Andhra Pradesh,Kothapeta,52,Kala Venkatar Ao,Male,Indian National Congress,INC,55794.0,42292.0,60.0,10739,GEN,Vidhan Sabha
84,1955,Andhra Pradesh,Kovvur,53,Taneti Veeraraghavulu,Male,Independent,IND,105094.0,150745.0,28.1,0,GEN,Vidhan Sabha
85,1955,Andhra Pradesh,Kuchinapudi,81,Angani Bhagavantha Rao,Male,Khun Hynniewtrep National Awakening Movement,Star,56889.0,45337.0,58.84,9914,GEN,Vidhan Sabha
86,1955,Andhra Pradesh,Kuppam,126,Ramabhrmham D.,Male,Independent,IND,62467.0,25757.0,55.18,2667,GEN,Vidhan Sabha
87,1955,Andhra Pradesh,Kurnool,160,Mahaboob Ali Khan,Male,Independent,IND,49734.0,27779.0,59.09,9726,GEN,Vidhan Sabha
88,1955,Andhra Pradesh,Lakkireddipalli,135,K. Koti Reddy,Male,Independent,IND,57173.0,32795.0,59.22,6049,GEN,Vidhan Sabha
89,1955,Andhra Pradesh,Macherla,98,Mandapati Nagireddi,Male,Communist Party of India,CPI,54095.0,29497.0,36.13,2271,GEN,Vidhan Sabha
90,1955,Andhra Pradesh,Madanapalle,128,Gopalakrishnayya Gupta T.,Male,Independent,IND,58194.0,35779.0,52.18,6948,GEN,Vidhan Sabha
91,1955,Andhra Pradesh,Madugula,29,Donda Sreerama Murty,Male,Independent,IND,57847.0,33734.0,55.91,4869,GEN,Vidhan Sabha
92,1955,Andhra Pradesh,Malleswaram,78,Pennenti Pamideswararao,Male,Indian National Congress,INC,58215.0,44136.0,59.35,8254,GEN,Vidhan Sabha
93,1955,Andhra Pradesh,Managalagiri,91,Meka Kotireddi,Male,Independent,IND,58534.0,43333.0,56.7,5805,GEN,Vidhan Sabha
94,1955,Andhra Pradesh,Markapur,166,Kandula Obula Reddy,Male,Khun Hynniewtrep National Awakening Movement,Star,62310.0,38623.0,44.5,5528,GEN,Vidhan Sabha
95,1955,Andhra Pradesh,Martur,100,Bandlamudi Venkatasivayya,Male,Independent,IND,64469.0,40345.0,60.53,8493,GEN,Vidhan Sabha
96,1955,Andhra Pradesh,Myduku,138,Rama Reddy Bommu,Male,Independent,IND,62997.0,43006.0,61.67,11774,GEN,Vidhan Sabha
97,1955,Andhra Pradesh,Mylavaram,72,Vellanki Visweswara Rao,Male,Independent,IND,52031.0,40564.0,50.1,84,GEN,Vidhan Sabha
98,1955,Andhra Pradesh,Nagarikatkam,14,Thammineni Papa Rao,Male,Independent,IND,62207.0,34107.0,45.42,4485,GEN,Vidhan Sabha
99,1955,Andhra Pradesh,Naguru,7,Addakula Lakshmu Naidu,Male,Independent,IND,68678.0,17466.0,33.32,280,GEN,Vidhan Sabha
100,1955,Andhra Pradesh,Nallamada,144,Biappa Reddi,Male,Indian National Congress,INC,58764.0,39208.0,57.53,5904,GEN,Vidhan Sabha
101,1955,Andhra Pradesh,Nandigama,73,Pillalamarr I Venkateswarlu,Male,Independent,IND,63698.0,47914.0,50.23,218,GEN,Vidhan Sabha
102,1955,Andhra Pradesh,Nandikotkur,161,N.K. Lingam,Male,Independent,IND,108515.0,143023.0,25.29,0,GEN,Vidhan Sabha
103,1955,Andhra Pradesh,Nandipad,109,Kasim Venkata Reddi,Male,Independent,IND,60712.0,26480.0,51.13,1180,GEN,Vidhan Sabha
104,1955,Andhra Pradesh,Nandyal,162,Gopavaram Rami Reddy,Male,Independent,IND,57257.0,36107.0,56.51,11576,GEN,Vidhan Sabha
105,1955,Andhra Pradesh,Narasannapeta,5,Simma Jagannadham,Male,Khun Hynniewtrep National Awakening Movement,Star,53940.0,24250.0,40.83,3055,GEN,Vidhan Sabha
106,1955,Andhra Pradesh,Narasapatnam,32,Mutyala Pothuraju,Male,Independent,IND,111252.0,111582.0,19.13,0,GEN,Vidhan Sabha
107,1955,Andhra Pradesh,Narasapur,62,Grandhi Venkatareddi,Male,Independent,IND,58244.0,41615.0,59.01,8535,GEN,Vidhan Sabha
108,1955,Andhra Pradesh,Narasarao,101,Nalapati Venkatramayya,Male,Independent,IND,72693.0,50245.0,59.23,12063,GEN,Vidhan Sabha
109,1955,Andhra Pradesh,Nellore,116,Anam Chenchu Subba Reddy,Male,Independent,IND,63835.0,35925.0,57.5,8120,GEN,Vidhan Sabha
110,1955,Andhra Pradesh,Nuzvid,76,Meka Rangayyappara O,Male,Indian National Congress,INC,57535.0,44186.0,63.13,11600,GEN,Vidhan Sabha
111,1955,Andhra Pradesh,Ongole,104,T. Prakasam,Male,Indian National Congress,INC,113786.0,147698.0,27.68,0,GEN,Vidhan Sabha
112,1955,Andhra Pradesh,Palacole,63,Desari Perumallu,Male,Indian National Congress,INC,113811.0,160722.0,24.92,0,GEN,Vidhan Sabha
113,1955,Andhra Pradesh,Palakonda,13,Pydi Narasimhappara O,Male,Independent,IND,57920.0,34109.0,35.96,777,GEN,Vidhan Sabha
114,1955,Andhra Pradesh,Pallipalem,45,Remella Tirupathirao,Male,Indian National Congress,INC,128167.0,73958.0,55.29,0,GEN,Vidhan Sabha
115,1955,Andhra Pradesh,Pamarru,48,S.B.P. Pattabhiramarao,Male,Indian National Congress,INC,54423.0,42010.0,67.07,15029,GEN,Vidhan Sabha
116,1955,Andhra Pradesh,Paravada,25,Eti Nagayya,Male,Khun Hynniewtrep National Awakening Movement,Star,59851.0,24009.0,51.81,4293,GEN,Vidhan Sabha
117,1955,Andhra Pradesh,Paruchuru,89,Kolla Ramajah,Male,Independent,IND,54097.0,42651.0,56.45,5501,GEN,Vidhan Sabha
118,1955,Andhra Pradesh,Parvathipuram,8,Vyricherla Chandrachudamani Dev,Male,Independent,IND,65073.0,45591.0,60.27,9369,GEN,Vidhan Sabha
119,1955,Andhra Pradesh,Patapatnam,6,Lukulapu Lakshmanadas,Male,Independent,IND,107326.0,80763.0,30.08,0,GEN,Vidhan Sabha
120,1955,Andhra Pradesh,Pattikonda,158,Hanumantha Reddi,Male,Indian National Congress,INC,50214.0,30128.0,57.26,5342,GEN,Vidhan Sabha
121,1955,Andhra Pradesh,Peddakakani,90,Ginjupalli Bapayya,Male,Independent,IND,64583.0,46592.0,55.51,5136,GEN,Vidhan Sabha
122,1955,Andhra Pradesh,Peddakurapadu,94,Ganapa Ramaswami Reddi,Male,Independent,IND,65906.0,41957.0,57.39,6199,GEN,Vidhan Sabha
123,1955,Andhra Pradesh,Peddapuram,39,Durvasula Venkatasubbarao,Male,Independent,IND,61967.0,42036.0,44.6,1175,GEN,Vidhan Sabha
124,1955,Andhra Pradesh,Pentapadu,58,Chintalapati S.C.V.P.M.,Male,Independent,IND,64784.0,47516.0,65.18,15710,GEN,Vidhan Sabha
125,1955,Andhra Pradesh,Penugonda,61,Jevvadi Laxmayya,Male,Independent,IND,63123.0,49629.0,54.86,4825,GEN,Vidhan Sabha
126,1955,Andhra Pradesh,Penukonda,147,Chithambara Reddi,Male,Indian National Congress,INC,56297.0,35009.0,71.47,15035,GEN,Vidhan Sabha
127,1955,Andhra Pradesh,Phirangipuram,95,Kasu Brahmanandareddy,Male,Independent,IND,62815.0,44481.0,59.74,9772,GEN,Vidhan Sabha
128,1955,Andhra Pradesh,Pileru,131,Veakatarama Naidu N.,Male,Independent,IND,65538.0,38350.0,54.86,9764,GEN,Vidhan Sabha
129,1955,Andhra Pradesh,Pithapuram,42,Vadrevu Gopalkrishna,Male,People's Party,Steering Wheel,58445.0,36791.0,64.62,10755,GEN,Vidhan Sabha
130,1955,Andhra Pradesh,Podili,106,Sanikommu Kasireddy,Male,Communist Party of India,CPI,51257.0,25607.0,51.49,1023,GEN,Vidhan Sabha
131,1955,Andhra Pradesh,Polavaram,54,Pusuluri Kodanad Ramayya,Male,Independent,IND,48015.0,28692.0,50.86,492,GEN,Vidhan Sabha
132,1955,Andhra Pradesh,Ponnur,86,Govada Paramdhamaiah,Male,Khun Hynniewtrep National Awakening Movement,Star,66746.0,47865.0,64.93,14289,GEN,Vidhan Sabha
133,1955,Andhra Pradesh,Prathipadu,40,Parvata Gurraju,Male,Indian National Congress,INC,55849.0,39661.0,44.96,5894,GEN,Vidhan Sabha
134,1955,Andhra Pradesh,Proddattur,139,Kandula B. Reddy,Male,Indian National Congress,INC,64618.0,42648.0,55.25,4478,GEN,Vidhan Sabha
135,1955,Andhra Pradesh,Pulivendla,142,P. Basi Reddi,Male,Indian National Congress,INC,59539.0,41723.0,66.68,13917,GEN,Vidhan Sabha
136,1955,Andhra Pradesh,Punganur,127,Rathnam,Male,Independent,IND,106288.0,70256.0,11.13,0,GEN,Vidhan Sabha
137,1955,Andhra Pradesh,Putloor,150,Tarimela R. Reddi,Male,Independent,IND,51352.0,35939.0,51.82,1305,GEN,Vidhan Sabha
138,1955,Andhra Pradesh,Rajahmundry,36,Ambadipudi Balanageswararao,Male,People's Party,Steering Wheel,62610.0,37633.0,58.56,6441,GEN,Vidhan Sabha
139,1955,Andhra Pradesh,Rajampet,133,Pothuraju Parthasarathi,Male,Independent,IND,110782.0,131978.0,33.55,0,GEN,Vidhan Sabha
140,1955,Andhra Pradesh,Ramakrishnarajupet,122,Ranganatha Modaliar,Male,Independent,IND,58452.0,34794.0,53.18,9111,GEN,Vidhan Sabha
141,1955,Andhra Pradesh,Ramchandrapuram,46,K.S.R. Ramachandraraju,Male,People's Party,Steering Wheel,58090.0,39962.0,68.36,15135,GEN,Vidhan Sabha
142,1955,Andhra Pradesh,Rayachoty,134,Y. Audinarayana Reddy,Male,Indian National Congress,INC,65168.0,45135.0,55.88,5305,GEN,Vidhan Sabha
143,1955,Andhra Pradesh,Rayadrug,153,Seshadri,Male,Independent,IND,51399.0,34750.0,44.9,2042,GEN,Vidhan Sabha
144,1955,Andhra Pradesh,Razole,51,Ganji Nageswararao,Male,Communist Party of India,CPI,124197.0,171661.0,20.84,0,GEN,Vidhan Sabha
145,1955,Andhra Pradesh,Repalle,82,Yadam Channaiah,Male,Indian National Congress,INC,49084.0,38456.0,59.76,7510,GEN,Vidhan Sabha
146,1955,Andhra Pradesh,Revidi,21,K.V.S.P. Raju,Male,Independent,IND,48420.0,24343.0,62.51,11891,GEN,Vidhan Sabha
147,1955,Andhra Pradesh,Salur,9,Allu Yerukunaidu,Male,Praja Socialist Party,PSP,102175.0,85126.0,22.56,0,GEN,Vidhan Sabha
148,1955,Andhra Pradesh,Samalkot,43,Putsala Satyanarayana,Male,Independent,IND,73396.0,40643.0,52.08,4140,GEN,Vidhan Sabha
149,1955,Andhra Pradesh,Sarvapalli,117,Bezwada Gopal Reddi,Male,Indian National Congress,INC,60095.0,37663.0,67.92,14640,GEN,Vidhan Sabha
150,1955,Andhra Pradesh,Sattenpalli,96,Vavilal Gopalkrishnaiah,Male,Communist Party of India,CPI,2473.0,40566.0,49.04,875,GEN,Vidhan Sabha
151,1955,Andhra Pradesh,Shermuhammadapuram,16,Choudari Satyanarayana,Male,Khun Hynniewtrep National Awakening Movement,Star,52940.0,31547.0,27.33,685,GEN,Vidhan Sabha
152,1955,Andhra Pradesh,Sirval,164,C. Peda Thimma Reddy,Male,Independent,IND,57129.0,37413.0,61.37,14083,GEN,Vidhan Sabha
153,1955,Andhra Pradesh,Sompeta,2,Goutu Latchanna,Male,Independent,IND,61481.0,31631.0,67.77,12175,GEN,Vidhan Sabha
154,1955,Andhra Pradesh,Srikakulam,15,Pasagada Suryanarayana,Male,Independent,IND,54880.0,32381.0,36.67,2399,GEN,Vidhan Sabha
155,1955,Andhra Pradesh,Srungavatapukota,28,Gujjala Ramu Naidu,Male,Praja Socialist Party,PSP,111252.0,75948.0,24.87,0,GEN,Vidhan Sabha
156,1955,Andhra Pradesh,Tadepalligudem,57,S.K.V. Krishnavataram,Male,Indian National Congress,INC,117363.0,151916.0,26.6,0,GEN,Vidhan Sabha
157,1955,Andhra Pradesh,Tadpatri,151,Challa Subbarayudu,Male,Indian National Congress,INC,58193.0,38011.0,58.33,6331,GEN,Vidhan Sabha
158,1955,Andhra Pradesh,Tanuku,59,Mullapudi Harischandraprasad,Male,Independent,IND,65538.0,49935.0,53.24,6880,GEN,Vidhan Sabha
159,1955,Andhra Pradesh,Tavanmapalle,125,Rajagopala Naidu P.,Male,Khun Hynniewtrep National Awakening Movement,Star,51591.0,42056.0,58.46,8544,GEN,Vidhan Sabha
160,1955,Andhra Pradesh,Tekkali,4,Rokkam Lakshmi Narasimham Dora,Male,Independent,IND,62108.0,33707.0,33.38,536,GEN,Vidhan Sabha
161,1955,Andhra Pradesh,Tenali,85,Alapati Venkatramayya,Male,Independent,IND,54550.0,41101.0,60.09,8295,GEN,Vidhan Sabha
162,1955,Andhra Pradesh,Thamballapalle,129,T.N. Venkatasubba Reddy,Male,Independent,IND,60171.0,0.0,0.0,0,GEN,Vidhan Sabha
163,1955,Andhra Pradesh,Tirupathi,132,Raddivari Nathamuni Reddy,Male,Indian National Congress,INC,62208.0,39853.0,70.66,22297,GEN,Vidhan Sabha
164,1955,Andhra Pradesh,Tiruttani,121,Gopalu Reddy,Male,Indian National Congress,INC,112854.0,68902.0,51.3,0,GEN,Vidhan Sabha
165,1955,Andhra Pradesh,Tiruvur,75,Peta Bapayya,Male,Independent,IND,53427.0,40892.0,53.46,2830,GEN,Vidhan Sabha
166,1955,Andhra Pradesh,Tuni,41,Raja Vatsavaya V.K.B.B.,Male,Independent,IND,51728.0,34454.0,64.11,9722,GEN,Vidhan Sabha
167,1955,Andhra Pradesh,Udayagiri,108,Sheik Moula Saheb,Male,Indian National Congress,INC,58423.0,25790.0,57.77,4007,GEN,Vidhan Sabha
168,1955,Andhra Pradesh,Undi,65,Gadiraju Jagannadharaju,Male,Independent,IND,67759.0,50700.0,42.74,5523,GEN,Vidhan Sabha
169,1955,Andhra Pradesh,Vadamalpet,120,R.B. Ramakrishna Raju,Male,Independent,IND,60603.0,30395.0,51.54,7555,GEN,Vidhan Sabha
170,1955,Andhra Pradesh,Vayalpad,130,Thimma Reddy P.,Male,Indian National Congress,INC,51414.0,29642.0,80.15,17874,GEN,Vidhan Sabha
